QID,Label,Description
Q5639720,Haitian American,People of Haitian heritage and diaspora living in the United States
Q5652252,Citizens' Movement of Cartagena,Spanish political party
Q5656225,Popular Action of Equatorial Guinea,political party in Equatorial Guinea
Q5669847,assistant professor,introductory level professor in North America
Q5674831,2004 Hartlepool by-election,
Q5678936,Republican–Socialist Conjunction,coalition of Spanish Republican parties
Q5695233,heavy equipment operator,worker operating equipment in engineering and construction projects
Q5711091,armed robbery,type of robbery
Q5712806,1996 Hemsworth by-election,
Q5716684,dancer,person who dances
Q5719186,local expert,person with an intimate knowledge of a region
Q5733995,National Democratic Party of Lithuania,
Q5741815,Radical Change,
Q5753522,,
Q5762307,Hill State People's Democratic Party,political party in India
Q5764991,Sinterklaas,Folkloric figure from the Low Countries that inspired Santa Claus
Q5780518,communicator,occupation
Q5780828,,coalition of conservative political parties in Argentina
Q5784164,Palace janitor,
Q5784340,consort,spouse of a ruler
Q5827456,October 2003 Madrilenian regional election,
Q5827497,1995 Castilian-Leonese regional election,
Q5827503,Castile and León parliamentary election,
Q5828567,1886 Argentine presidential election,
Q5828588,1937 Argentine presidential election,
Q5828868,1924 Ecuadorian presidential election,
Q5894191,Hong Kong Affairs Society,Hong Kong political organisation
Q5895339,2004 Hong Kong legislative election,
Q5941265,civil servant in Spain,
Q5943850,,
Q5955241,1986 Taiwan legislative election,
Q5956573,,
Q5970452,1995 Taiwan legislative election,
Q5974090,1998 Taiwan legislative election,election
Q5979455,2014 European Parliament election in Spain,
Q6016354,Independent Agrarian Party,political party in the Kingdom of Yugoslavia
Q6017344,Independent Unionist,
Q6017510,Independent inventor,
Q6020066,Indian Congress,
Q6022895,2012 Indian vice-presidential election,
Q6024146,Indian Singaporeans,ethnic group
Q6025239,National Syndicalist Revolutionary Movement,Chilean nationalist group founded in 1952
Q6030243,influencer marketing,type of social media marketing
Q6030627,later period of the First Hellenic Republic,
Q6034821,mostassaf,public office in Kingdom of Aragon
Q6041302,neuropsychologist,person who practices neuropsychology
Q6041659,Geosciences Barcelona,
Q6046672,Nueva Mayoría,Peruvian right-wing political party
Q6050670,International Foundation for Electoral Systems,non-profit organization
Q6051619,opinion journalist,journalist who makes no claim of objectivity
Q6052374,International Peace Mission movement,religious movement founded by Father Divine in the 1920s
Q6052435,Integrated Revolutionary Organizations,
Q6055504,,
Q6061183,True Path Party,Political party of Turkey
Q6064012,National Democratic Party,Chilean political party
Q6064161,Partido Nacionalista de Chile,
Q6064303,National Republican Party,
Q6064351,Iowa Democratic Party,political party in the US state of Iowa
Q6064382,Socialist Party of Castilla–La Mancha,
Q6064551,,
Q6067949,Iraqi Accord Front,Sunni Arab-led Iraqi political coalition
Q6084458,1995 Islwyn by-election,
Q6087307,Ombusdman of Castille and Leon,ombudsman of Castille and Leon (Spain)
Q6089069,,
Q6089355,Peace and Democracy Movement,
Q6102247,film or television director,
Q6104617,Spanish Queen consort,title of the wife of the King of Spain
Q6105867,pastry maker,
Q6123500,2001 Taiwan legislative election,
Q6127426,Jamaican Maroons,Africans and their descendants who liberated themselves from enslavement and formed independent settlements.
Q6146709,tanhua,
Q6148229,Liberal League,former  Japanese political party
Q6150829,Janata Dal (Ajit),political party of India
Q6150836,Janata Morcha,
Q6150842,Janata Party (Secular),political party in India
Q6157100,Revolutionary Union,Defunct political party in Peru
Q6172454,Jeay Sindh Qaumi Mahaz,
Q6189617,jewellery design,art of designing and creating jewellery
Q6190965,Jharkhand Vikas Morcha,political party in India
Q6314445,Junák,Czech scouting organization
Q6344232,Kabiraj,occupational title used by people from India or of Indian origin; people traditionally practicing Ayurveda
Q6379256,1978 Brazilian presidential election,
Q6393319,Kerala Congress (B),political party in India
Q6439579,Venezuelodesmus decui,species of myriapod
Q6444302,Democratic Liberal Party,political party in Japan
Q6445737,Kurdish American,people born in or residing in the US of Kurdish origin
Q6448934,Kuwaiti,Wikimedia disambiguation page
Q6450960,Kyiv Civil Activists,
Q6452431,1991 Kyrgyz presidential election,
Q6467187,Labor Party of Liberia,political party in Liberia
Q6467536,Labour and Solidarity Party,political party in Cape Verde
Q6485751,1991 Langbaurgh by-election,
Q6510842,Lebanese American,ethnic group
Q6514877,Radical Socialists,
Q6517040,Leftist Socialist Party of Japan,
Q6519232,2011 Leicester South by-election,
Q6527396,,
Q6529576,Bihari people,natives given to the Residentary  of the Indian state of Bihar
Q6533549,letter cutting,form of inscriptional architectural lettering
Q6540647,Liberal Democratic Party of Pridnestrovie,
Q6541449,Libertarianz,
Q6542711,library technician,profession
Q6543051,Licensed professional counselor,U.S. professional credential
Q6543080,Licentiate of Arts,
Q6554404,pipe and tabor player,pipe and tabor player; type of musician in Provence
Q6581394,Phalang Chon Party,Thai political party
Q6583042,Vietnamese Constitutional Monarchist League,
Q6628893,list of modern scholars in Buddhist studies,Wikimedia list article
Q6658559,1964 Liverpool Scotland by-election,
Q6678269,,
Q6679471,Lord Justice Clerk,
Q6716023,MIET,Wikimedia disambiguation page
Q6739786,Makkal Manadu Katchi,political party in India
Q6742855,1968 Maldivian presidential election,
Q6743565,Valencian Marxist Front,
Q6746710,manager,person involved in the direction and instruction of the on-field operations of a team in Gaelic games
Q6747710,Mandaeans,ethnoreligious group
Q6749831,Manipur Peoples Party,Political party of India
Q6762564,Mariche people,history
Q6767714,,
Q6781300,Maryland Democratic Party,Major political party in the U.S. state of Maryland
Q6785024,master gunner,Rank for artillery expect
Q6785176,Master of Design,postgraduate academic master degree
Q6785229,Master of Public Affairs,type of public policy degree
Q6785368,mastering engineer,type of audio engineer
Q6793709,Mauritanian Party of Union and Change,political party in Mauritania
Q6793756,Mauritian Social Democrat Party,mauritian political party
Q6796093,,
Q6797571,2008 Mayo by-election,Australian federal by-election
Q6804734,Mechoopda,
Q6806548,medical illustration,"illustration of biomedical concepts, e.g. use of diagrams and drawings"
Q6825756,Mexican Canadians,Canadians of Mexican descent
Q6837434,,Wikimedia disambiguation page
Q6841008,"Mid Staffordshire by-election, 1990",
Q6841036,1956 Mid Ulster by-election,
Q6841038,"Mid Ulster by-election, 2013",
Q6846912,,
Q6866478,Ministerial council,Wikimedia disambiguation page
Q6878885,Missionary Bishop,type of an Bishop
Q6879610,Missouri Republican Party,Missouri affiliate of the Republican Party
Q6888510,Moderation and Development Party,reformist centrist/centre-right political party in Iran
Q6899636,Mongolian American,Americans of full or part Mongolian ancestry
Q6900914,1994 Monklands East by-election,
Q6916348,,
Q6926624,Movement for Citizens' Commitment and Awakening,political party in Benin
Q6942926,Muslim League,Pakistani political party
Q6971557,National Coalition for Reform and Advancement,political coalition in the Solomon Islands
Q6971774,National Conference of Tripura,Indian political party
Q6972279,National Development Party,Indian political party
Q6972815,National Front of Workers and Peasants,political party in Peru
Q6974870,National People's Party,regional political party of India
Q6974876,National People's Party,South African political party
Q6978501,National Socialist League,"British party, 1937–39"
Q6978510,National Socialist Party,
Q6979102,National Union for Independence and Revolution,
Q6979208,National Unity Party,political party in the Philippines
Q6979316,National Vision Party of Liberia,political party in Liberia
Q6981179,Naujawan Bharat Sabha,organization
Q7005377,Bnei Torah,Israeli Haredi political party
Q7006877,New Democratic Forces,
Q7006916,1995 New Democratic Party leadership election,
Q7008134,New Hampshire Democratic Party,"political organization in New Hampshire, U.S."
Q7010580,New Nationalist Party,British far-right political party
Q7014067,New York Democratic Party,"political organization in New York, U.S."
Q7015325,New Zealand Democrat Party,
Q7015349,New Zealand European,New Zealanders of European descent
Q7017850,Newfoundland Reform Liberal Party,"political party in Newfoundland and Labrador, Canada"
Q7018151,"Newham South by-election, 1974",
Q7019112,Category:23 mm artillery,Wikimedia category
Q7019498,news director,profession
Q7024455,Nicaraguan Resistance Party,
Q7030472,Popular Republican Union,extra-parliamentary French political party
Q7054040,1911 North Ayrshire by-election,
Q7058534,Northern Ireland Unionist Party,existed 1999 to 2008
Q7058854,Northern People's Congress,Nigerian political party
Q7060026,Likud-Gesher-Tzomet,Knesset faction
Q7077824,Odinism,"synonym for Heathenry, a modern Pagan religion"
Q7080791,Ohio Democratic Party,"political organization in Ohio, U.S."
Q7080876,Ohio Republican Party,Ohio affiliate of the Republican Party
Q7081621,Ojibways of Onigaming First Nation,
Q7082297,Oklahoma Republican Party,American state-level political party
Q7099031,options broker,"specialist conducting options trading, research, education and other tools for individual investors"
Q7101309,Oregon Republican Party,Oregon affiliate of the Republican Party
Q7101886,Organisation for National Reconstruction,
Q7101925,Organist and Master of the Choristers,Church of England title
Q7102965,1921 Orkney and Shetland by-election,
Q7111077,Our Madagascar,political party in Madagascar
Q7119835,PNG Country Party,political party in Papua New Guinea
Q7121300,Pa-O National Organisation,
Q7124309,Pageantry,Wikimedia disambiguation page
Q7125217,1920 Paisley by-election,
Q7125909,1965 Pakistani presidential election,Pakistan's first ever Presidential Elections
Q7127284,Palestine Arab Workers Society,former labor organisation
Q7140524,Anti-Corruption Party,Honduran political party
Q7140535,Partido Federal,Wikimedia disambiguation page
Q7140540,Partido Magdalo,Political party in the Philippines
Q7141116,Chilean Social Democracy Party,
Q7145347,Patriarchate of Aquileia,Wikimedia disambiguation page
Q7147979,unitario,Spanish Americans who rebelled against Spanish control during the Spanish American wars of independence
Q7156771,paymaster,profession involving paying wages or salaries
Q7158424,Peasants' Party,
Q7165523,People's Democratic Movement,political party in Turks and Caicos
Q7165673,People's Party,Serbian political party (2008-2012)
Q7165678,People's Party,Political party in the Utah territory (1870-1891)
Q7165740,People's Reform Party,political party in the Philippines
Q7165964,Northern Irish,residents of Northern Ireland
Q7170975,Peru State College,
Q7178961,petroleum geologist,occupation in the field of petroleum geology
Q7182927,philanthropist,Wikimedia disambiguation page
Q7185375,1953 Philippine presidential election,5th Philippine presidential election
Q7193584,The National Alliance,
Q7199710,pixel artist,artist who works in the raster graphics on the pixel level
Q7210043,2002 Polish local elections,
Q7225408,Politik,Wikimedia disambiguation page
Q7230459,2012 Port Adelaide state by-election,South Australian by-election
Q7232494,1923 Portsmouth South by-election,
Q7232720,Portuguese in the United Kingdom,
Q7237373,Practitioner–scholar model,
